date,ticker,sentiment,risk,action,action_value,price,portfolio_value
2024-01-19,KOTAKBANK,0.5,0.25,BUY,0.10764324,352.0677490234375,978381.2752876892
2024-01-19,BAJAJ-AUTO,0.25,0.125,SELL,-0.07563204,6904.04052734375,978381.2752876892
2024-01-19,TATASTEEL,0.0,0.5,HOLD,-0.04683263,128.5995635986328,978381.2752876892
2024-01-19,DIVISLAB,-0.5,0.5,HOLD,-0.031127637,3654.626220703125,978381.2752876892
2024-01-23,KOTAKBANK,0.0,0.5,BUY,0.12315319,356.09869384765625,989293.7053748779
2024-01-23,RELIANCE,0.0,0.5,BUY,0.114807375,1318.8138427734375,989293.7053748779
2024-01-23,SBIN,0.0,0.5,BUY,0.11090097,583.405517578125,989293.7053748779
2024-01-23,BAJAJ-AUTO,0.0,0.625,SELL,-0.056977205,6864.71533203125,989293.7053748779
2024-01-23,DIVISLAB,0.0,0.5,HOLD,-0.04889665,3577.00830078125,989293.7053748779
2024-01-23,TATASTEEL,0.0,0.5,HOLD,-0.032596566,124.6242446899414,989293.7053748779
2024-01-24,SBIN,-0.25,0.5,BUY,0.15010288,596.1322021484375,985221.1664649658
2024-01-24,TITAN,0.0,0.5,BUY,0.13193572,3744.293212890625,985221.1664649658
2024-01-24,KOTAKBANK,0.0,0.625,BUY,0.12607521,356.9168701171875,985221.1664649658
2024-01-24,BAJAJ-AUTO,-0.5,0.25,SELL,-0.054460164,6977.85546875,985221.1664649658
2024-01-24,M&M,0.0,0.5,HOLD,-0.034006707,1603.3839111328125,985221.1664649658
2024-01-24,DIVISLAB,1.0,0.5,HOLD,-0.033647224,3604.9091796875,985221.1664649658
2024-01-25,SBIN,0.0,0.375,BUY,0.11714589,590.7811889648438,1005887.3103248291
2024-01-25,KOTAKBANK,0.0,0.5,BUY,0.10671726,352.8858947753906,1005887.3103248291
2024-01-25,TITAN,0.0,0.5,BUY,0.10587666,3746.628173828125,1005887.3103248291
2024-01-25,BAJAJ-AUTO,0.5,0.625,SELL,-0.069381535,7349.97314453125,1005887.3103248291
